Country,StateName,StateCode,Year,TRU,D7292_3,I7292_4_sum,I7292_4_avg,I7292_5_sum,I7292_5_avg,I7292_6_sum,I7292_6_avg,I7292_7_sum,I7292_7_avg,I7292_8_sum,I7292_8_avg,I7292_9_sum,I7292_9_avg,I7292_10_sum,I7292_10_avg,I7292_11_sum,I7292_11_avg,I7292_12_sum,I7292_12_avg,I7292_13_sum,I7292_13_avg,I7292_14_sum,I7292_14_avg
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban ,Male,3.0,3.0,12.9,12.9,31.3,31.3,3.4,3.4,29.4,29.4,0.0,0.0,18.3,18.3,4.7,4.7,100.0,100.0,1164.0,1164.0,352.0,352.0
India,Rajasthan,8,"Agriculture Year (Jul - Jun), 2017",Urban ,Person,2.9,2.9,14.0,14.0,29.1,29.1,3.3,3.3,31.6,31.6,0.0,0.0,17.6,17.6,4.3,4.3,100.0,100.0,2139.0,2139.0,635.0,635.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural ,Female,19.9,19.9,14.0,14.0,51.8,51.8,3.3,3.3,7.1,7.1,0.0,0.0,21.6,21.6,2.5,2.5,100.0,100.0,10561.0,10561.0,1248.0,1248.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural ,Male,19.2,19.2,12.9,12.9,46.0,46.0,4.4,4.4,9.5,9.5,0.0,0.0,24.1,24.1,3.6,3.6,100.0,100.0,11326.0,11326.0,1350.0,1350.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Rural ,Person,19.5,19.5,13.4,13.4,48.8,48.8,3.8,3.8,8.3,8.3,0.0,0.0,22.9,22.9,3.0,3.0,100.0,100.0,21898.0,21898.0,2599.0,2599.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Female,17.0,17.0,12.0,12.0,52.7,52.7,3.3,3.3,8.4,8.4,0.0,0.0,21.5,21.5,2.3,2.3,100.0,100.0,15215.0,15215.0,2183.0,2183.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Male,16.6,16.6,12.3,12.3,47.3,47.3,4.0,4.0,9.5,9.5,0.0,0.0,24.0,24.0,3.4,3.4,100.0,100.0,16102.0,16102.0,2434.0,2434.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Total,Person,16.8,16.8,12.1,12.1,49.9,49.9,3.7,3.7,9.0,9.0,0.0,0.0,22.9,22.9,2.9,2.9,100.0,100.0,31329.0,31329.0,4618.0,4618.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban ,Female,12.7,12.7,7.1,7.1,55.0,55.0,3.4,3.4,11.5,11.5,0.0,0.0,21.4,21.4,1.9,1.9,100.0,100.0,4654.0,4654.0,935.0,935.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban ,Male,12.6,12.6,10.9,10.9,50.3,50.3,3.0,3.0,9.4,9.4,0.0,0.0,24.0,24.0,2.9,2.9,100.0,100.0,4776.0,4776.0,1084.0,1084.0
India,Uttar Pradesh,9,"Agriculture Year (Jul - Jun), 2017",Urban ,Person,12.6,12.6,9.1,9.1,52.6,52.6,3.2,3.2,10.4,10.4,0.0,0.0,22.8,22.8,2.4,2.4,100.0,100.0,9431.0,9431.0,2019.0,2019.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural ,Female,6.4,6.4,17.8,17.8,52.4,52.4,2.9,2.9,5.8,5.8,0.0,0.0,20.3,20.3,1.5,1.5,100.0,100.0,3183.0,3183.0,499.0,499.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural ,Male,5.7,5.7,8.1,8.1,64.2,64.2,2.8,2.8,5.8,5.8,0.2,0.2,17.1,17.1,1.7,1.7,100.0,100.0,3117.0,3117.0,576.0,576.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Rural ,Person,6.0,6.0,13.0,13.0,58.2,58.2,2.8,2.8,5.8,5.8,0.1,0.1,18.7,18.7,1.6,1.6,100.0,100.0,6299.0,6299.0,1075.0,1075.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Total,Female,4.4,4.4,17.3,17.3,53.3,53.3,2.8,2.8,5.7,5.7,0.0,0.0,20.0,20.0,1.6,1.6,100.0,100.0,3608.0,3608.0,769.0,769.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Total,Male,4.0,4.0,8.3,8.3,61.7,61.7,2.9,2.9,6.3,6.3,0.2,0.2,18.6,18.6,1.9,1.9,100.0,100.0,3566.0,3566.0,890.0,890.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Total,Person,4.2,4.2,12.9,12.9,57.5,57.5,2.8,2.8,6.0,6.0,0.1,0.1,19.3,19.3,1.7,1.7,100.0,100.0,7174.0,7174.0,1659.0,1659.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Urban ,Female,1.3,1.3,13.6,13.6,60.2,60.2,2.0,2.0,4.9,4.9,0.0,0.0,17.6,17.6,2.0,2.0,100.0,100.0,425.0,425.0,270.0,270.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Urban ,Male,1.3,1.3,9.8,9.8,44.5,44.5,3.7,3.7,9.5,9.5,0.0,0.0,29.0,29.0,3.4,3.4,100.0,100.0,450.0,450.0,314.0,314.0
India,Bihar,10,"Agriculture Year (Jul - Jun), 2017",Urban ,Person,1.3,1.3,11.6,11.6,52.0,52.0,2.9,2.9,7.3,7.3,0.0,0.0,23.5,23.5,2.7,2.7,100.0,100.0,875.0,875.0,584.0,584.0
