Country,StateName,StateCode,DistrictName,DistrictCode,Year,D1139_4,I1139_5_sum,I1139_5_avg,I1139_6_sum,I1139_6_avg,I1139_7_sum,I1139_7_avg,I1139_8_sum,I1139_8_avg,I1139_9_sum,I1139_9_avg,I1139_10_sum,I1139_10_avg
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2017",Public,388.0,388.0,388.0,388.0,362.0,362.0,93.0,93.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2018",Private,211.0,211.0,211.0,211.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2018",Public,396.0,396.0,396.0,396.0,441.0,441.0,111.0,111.0,362.0,362.0,22.0,22.0
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2019",Private,150.0,150.0,150.0,150.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2019",Public,540.0,540.0,540.0,540.0,550.0,550.0,102.0,102.0,441.0,441.0,25.0,25.0
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2020",Private,160.0,160.0,160.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2020",Public,570.0,570.0,570.0,570.0,422.0,422.0,74.0,74.0,550.0,550.0,-23.0,-23.0
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2021",Private,180.0,180.0,180.0,180.0,14.0,14.0,8.0,8.0,0.0,0.0,0.0,0.0
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2021",Public,640.0,640.0,640.0,640.0,428.0,428.0,67.0,67.0,422.0,422.0,1.0,1.0
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2022",Private,100.0,100.0,100.0,100.0,62.0,62.0,62.0,62.0,14.0,14.0,343.0,343.0
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2022",Public,500.0,500.0,500.0,500.0,385.0,385.0,77.0,77.0,428.0,428.0,-10.0,-10.0
India,Jammu And Kashmir,1,Poonch,10,"Calendar Year (Jan - Dec), 2023",Private,100.0,100.0,100.0,100.0,71.0,71.0,71.0,71.0,62.0,62.0,15.0,15.0
