Country,StateName,StateCode,Year,I7035_4_sum,I7035_4_avg,I7035_5_sum,I7035_5_avg,I7035_6_sum,I7035_6_avg,I7035_7_sum,I7035_7_avg,I7035_8_sum,I7035_8_avg,I7035_9_sum,I7035_9_avg,I7035_10_sum,I7035_10_avg
India,Bihar,10,"Financial Year (Apr - Mar), 2017",9949.0,261.8157894736842,1899.0,49.973684210526315,150.0,3.9473684210526314,0.0,,0.0,,55.0,1.4473684210526316,36.0,0.9473684210526315
India,Bihar,10,"Financial Year (Apr - Mar), 2018",9780.0,264.3243243243243,1461.0,39.486486486486484,150.0,4.054054054054054,84.0,2.27027027027027,510.0,13.783783783783784,55.0,1.4864864864864864,35.0,0.9459459459459459
India,Bihar,10,"Financial Year (Apr - Mar), 2019",17053.0,487.22857142857146,3435.0,98.14285714285714,350.0,10.0,0.0,,0.0,,65.0,1.8571428571428572,58.0,1.6571428571428573
India,Bihar,10,"Financial Year (Apr - Mar), 2020",9849.0,266.18918918918916,1921.0,51.91891891891892,298.0,8.054054054054054,0.0,,0.0,,42.0,1.135135135135135,35.0,0.9459459459459459
India,Bihar,10,"Financial Year (Apr - Mar), 2021",10016.0,270.7027027027027,1661.0,44.891891891891895,293.0,7.918918918918919,0.0,,0.0,,42.0,1.135135135135135,35.0,0.9459459459459459
India,Chandigarh,4,"Financial Year (Apr - Mar), 2016",17.0,17.0,3.0,3.0,2.0,2.0,0.0,,0.0,,1.0,1.0,1.0,1.0
India,Chandigarh,4,"Financial Year (Apr - Mar), 2017",17.0,17.0,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,1.0,1.0,1.0
India,Chandigarh,4,"Financial Year (Apr - Mar), 2018",4.0,4.0,36.0,36.0,2.0,2.0,0.0,0.0,10.0,10.0,1.0,1.0,1.0,1.0
India,Chandigarh,4,"Financial Year (Apr - Mar), 2020",0.0,0.0,43.0,43.0,2.0,2.0,0.0,,0.0,,1.0,1.0,1.0,1.0
India,Chandigarh,4,"Financial Year (Apr - Mar), 2021",0.0,0.0,43.0,43.0,2.0,2.0,0.0,,0.0,,1.0,1.0,1.0,1.0
India,Chhattisgarh,22,"Financial Year (Apr - Mar), 2016",5186.0,192.07407407407408,785.0,29.074074074074073,169.0,6.2592592592592595,0.0,,0.0,,18.0,0.6666666666666666,26.0,0.9629629629629629
India,Chhattisgarh,22,"Financial Year (Apr - Mar), 2017",5200.0,192.59259259259258,793.0,29.37037037037037,169.0,6.2592592592592595,0.0,,0.0,,19.0,0.7037037037037037,26.0,0.9629629629629629
India,Chhattisgarh,22,"Financial Year (Apr - Mar), 2018",4919.0,182.1851851851852,687.0,25.444444444444443,174.0,6.444444444444445,650.0,24.074074074074073,150.0,5.555555555555555,20.0,0.7407407407407407,26.0,0.9629629629629629
India,Chhattisgarh,22,"Financial Year (Apr - Mar), 2020",5485.0,195.89285714285714,821.0,29.321428571428573,169.0,6.035714285714286,0.0,,0.0,,12.0,0.42857142857142855,26.0,0.9285714285714286
India,Chhattisgarh,22,"Financial Year (Apr - Mar), 2021",5494.0,219.76,822.0,32.88,170.0,6.8,0.0,,0.0,,12.0,0.48,27.0,1.08
India,Delhi,7,"Financial Year (Apr - Mar), 2016",10.0,0.9090909090909091,5.0,0.45454545454545453,0.0,0.0,0.0,,0.0,,9.0,0.8181818181818182,47.0,4.2727272727272725
India,Delhi,7,"Financial Year (Apr - Mar), 2017",12.0,1.0909090909090908,5.0,0.45454545454545453,0.0,0.0,0.0,,0.0,,9.0,0.8181818181818182,47.0,4.2727272727272725
India,Delhi,7,"Financial Year (Apr - Mar), 2018",204.0,18.545454545454547,540.0,49.09090909090909,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.8181818181818182,47.0,4.2727272727272725
India,Delhi,7,"Financial Year (Apr - Mar), 2020",15.0,1.3636363636363635,549.0,49.90909090909091,0.0,0.0,0.0,,0.0,,9.0,0.8181818181818182,37.0,3.3636363636363638
India,Delhi,7,"Financial Year (Apr - Mar), 2021",2.0,0.2,485.0,48.5,0.0,0.0,0.0,,0.0,,10.0,1.0,35.0,3.5
India,Goa,30,"Financial Year (Apr - Mar), 2016",214.0,107.0,24.0,12.0,4.0,2.0,0.0,,0.0,,2.0,1.0,2.0,1.0
India,Goa,30,"Financial Year (Apr - Mar), 2017",214.0,107.0,25.0,12.5,4.0,2.0,0.0,,0.0,,2.0,1.0,2.0,1.0
India,Goa,30,"Financial Year (Apr - Mar), 2018",219.0,109.5,0.0,0.0,5.0,2.5,0.0,0.0,24.0,12.0,2.0,1.0,2.0,1.0
India,Goa,30,"Financial Year (Apr - Mar), 2020",219.0,109.5,27.0,13.5,6.0,3.0,0.0,,0.0,,2.0,1.0,2.0,1.0
India,Goa,30,"Financial Year (Apr - Mar), 2021",219.0,109.5,28.0,14.0,6.0,3.0,0.0,,0.0,,2.0,1.0,2.0,1.0
India,Gujarat,24,"Financial Year (Apr - Mar), 2016",9082.0,292.96774193548384,1392.0,44.903225806451616,363.0,11.709677419354838,0.0,,0.0,,36.0,1.1612903225806452,22.0,0.7096774193548387
India,Gujarat,24,"Financial Year (Apr - Mar), 2017",9153.0,277.3636363636364,1474.0,44.666666666666664,363.0,11.0,0.0,,0.0,,37.0,1.121212121212121,22.0,0.6666666666666666
India,Gujarat,24,"Financial Year (Apr - Mar), 2018",7800.0,243.75,914.0,28.5625,355.0,11.09375,729.0,22.78125,781.0,24.40625,35.0,1.09375,22.0,0.6875
India,Gujarat,24,"Financial Year (Apr - Mar), 2020",8885.0,277.65625,1738.0,54.3125,346.0,10.8125,0.0,,0.0,,54.0,1.6875,18.0,0.5625
India,Gujarat,24,"Financial Year (Apr - Mar), 2021",8855.0,276.71875,1743.0,54.46875,347.0,10.84375,0.0,,0.0,,54.0,1.6875,18.0,0.5625
India,Haryana,6,"Financial Year (Apr - Mar), 2016",2589.0,123.28571428571429,366.0,17.428571428571427,112.0,5.333333333333333,0.0,,0.0,,21.0,1.0,21.0,1.0
India,Haryana,6,"Financial Year (Apr - Mar), 2017",2589.0,123.28571428571429,368.0,17.523809523809526,113.0,5.380952380952381,0.0,,0.0,,21.0,1.0,22.0,1.0476190476190477
India,Haryana,6,"Financial Year (Apr - Mar), 2018",2472.0,112.36363636363636,218.0,9.909090909090908,128.0,5.818181818181818,164.0,7.454545454545454,258.0,11.727272727272727,21.0,0.9545454545454546,22.0,1.0
India,Haryana,6,"Financial Year (Apr - Mar), 2019",2617.0,118.95454545454545,485.0,22.045454545454547,131.0,5.954545454545454,0.0,,0.0,,21.0,0.9545454545454546,22.0,1.0
India,Haryana,6,"Financial Year (Apr - Mar), 2020",2470.0,117.61904761904762,456.0,21.714285714285715,129.0,6.142857142857143,0.0,,0.0,,22.0,1.0476190476190477,21.0,1.0
India,Haryana,6,"Financial Year (Apr - Mar), 2021",2495.0,118.80952380952381,469.0,22.333333333333332,123.0,5.857142857142857,0.0,,0.0,,23.0,1.0952380952380953,21.0,1.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2016",2083.0,173.58333333333334,538.0,44.833333333333336,89.0,7.416666666666667,0.0,,0.0,,59.0,4.916666666666667,12.0,1.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2017",2084.0,173.66666666666666,576.0,48.0,91.0,7.583333333333333,0.0,,0.0,,71.0,5.916666666666667,12.0,1.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2018",2097.0,174.75,586.0,48.833333333333336,94.0,7.833333333333333,0.0,0.0,20.0,1.6666666666666667,78.0,6.5,12.0,1.0
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2019",1773.0,161.1818181818182,501.0,45.54545454545455,80.0,7.2727272727272725,0.0,,0.0,,68.0,6.181818181818182,8.0,0.7272727272727273
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2020",2115.0,176.25,572.0,47.666666666666664,98.0,8.166666666666666,0.0,,0.0,,83.0,6.916666666666667,9.0,0.75
India,Himachal Pradesh,2,"Financial Year (Apr - Mar), 2021",2115.0,176.25,570.0,47.5,97.0,8.083333333333334,0.0,,0.0,,84.0,7.0,9.0,0.75
India,Jammu and Kashmir,1,"Financial Year (Apr - Mar), 2016",2705.0,135.25,605.0,30.25,77.0,3.85,0.0,,0.0,,0.0,0.0,20.0,1.0
India,Jammu and Kashmir,1,"Financial Year (Apr - Mar), 2017",2705.0,135.25,605.0,30.25,77.0,3.85,0.0,,0.0,,0.0,,20.0,1.0
India,Jammu and Kashmir,1,"Financial Year (Apr - Mar), 2018",2638.0,131.9,528.0,26.4,77.0,3.85,125.0,6.25,111.0,5.55,0.0,0.0,21.0,1.05
India,Jammu and Kashmir,1,"Financial Year (Apr - Mar), 2020",2471.0,123.55,973.0,48.65,79.0,3.95,0.0,,0.0,,0.0,0.0,16.0,0.8
India,Jammu and Kashmir,1,"Financial Year (Apr - Mar), 2021",2471.0,123.55,973.0,48.65,79.0,3.95,0.0,,0.0,,0.0,0.0,15.0,0.75
India,Jharkhand,20,"Financial Year (Apr - Mar), 2016",3848.0,160.33333333333334,297.0,12.375,188.0,7.833333333333333,0.0,,0.0,,13.0,0.5416666666666666,24.0,1.0
India,Jharkhand,20,"Financial Year (Apr - Mar), 2017",3848.0,160.33333333333334,298.0,12.416666666666666,171.0,7.125,0.0,,0.0,,13.0,0.5416666666666666,23.0,0.9583333333333334
