Country,StateName,StateCode,Year,TRU,D7298_3,D7298_4,Average_out_of_pocket_medical_expenditure_per_hospitalisation_case_for_treatment_during_stay_at_hospital_sum,Average_out_of_pocket_medical_expenditure_per_hospitalisation_case_for_treatment_during_stay_at_hospital_avg,Estimated_number_of_hospitalisation_cases_sum,Estimated_number_of_hospitalisation_cases_avg,Sample_number_of_hospitalisation_cases_sum,Sample_number_of_hospitalisation_cases_avg
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural,Female,all (incl.n.r),6122.0,6122.0,2.0,2.0,36.0,36.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Charitable/NGO/trust run,0.0,0.0,2.0,2.0,36.0,36.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Govt./Public,10417.0,10417.0,2.0,2.0,36.0,36.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural,Male,Private,210000.0,210000.0,2.0,2.0,36.0,36.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural,Male,all (incl.n.r),25546.0,25546.0,2.0,2.0,36.0,36.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Charitable/NGO/trust run,11850.0,11850.0,2.0,2.0,36.0,36.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Govt./Public,8495.0,8495.0,2.0,2.0,36.0,36.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural,Person,Private,125349.0,125349.0,2.0,2.0,36.0,36.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Rural,Person,all (incl.n.r),19197.0,19197.0,2.0,2.0,36.0,36.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Female,Charitable/NGO/trust run,5352.0,5352.0,182.0,182.0,215.0,215.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Female,Govt./Public,16039.0,16039.0,182.0,182.0,215.0,215.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Female,Private,71700.0,71700.0,182.0,182.0,215.0,215.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Female,all (incl.n.r),34018.0,34018.0,182.0,182.0,215.0,215.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Male,Charitable/NGO/trust run,1750.0,1750.0,182.0,182.0,215.0,215.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Male,Govt./Public,22309.0,22309.0,182.0,182.0,215.0,215.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Male,Private,82677.0,82677.0,182.0,182.0,215.0,215.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Male,all (incl.n.r),41881.0,41881.0,182.0,182.0,215.0,215.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Person,Charitable/NGO/trust run,4181.0,4181.0,182.0,182.0,215.0,215.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Person,Govt./Public,19252.0,19252.0,182.0,182.0,215.0,215.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Person,Private,77311.0,77311.0,182.0,182.0,215.0,215.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Total,Person,all (incl.n.r),38033.0,38033.0,182.0,182.0,215.0,215.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Charitable/NGO/trust run,5300.0,5300.0,180.0,180.0,179.0,179.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Govt./Public,16160.0,16160.0,180.0,180.0,179.0,179.0
India,Chandigarh,4,"Agriculture Year (Jul - Jun), 2017",Urban,Female,Private,71859.0,71859.0,180.0,180.0,179.0,179.0
