Country,StateName,StateCode,Year,I1201_3_sum,I1201_3_avg,I1201_4_sum,I1201_4_avg,I1201_5_sum,I1201_5_avg,I1201_6_sum,I1201_6_avg,I1201_7_sum,I1201_7_avg,I1201_8_sum,I1201_8_avg,I1201_9_sum,I1201_9_avg,I1201_10_sum,I1201_10_avg,I1201_11_sum,I1201_11_avg
India,Assam,18,"Calendar Year (Jan - Dec), 2022",359.12,359.12,240718.0,240718.0,25470.0,25470.0,17983.0,17983.0,284171.0,284171.0,791.0,791.0,15.0,15.0,3.0,3.0,,
India,Assam,18,"Calendar Year (Jan - Dec), 2023",363.54,363.54,560704.0,560704.0,41758.0,41758.0,42096.0,42096.0,83854.0,83854.0,644558.0,644558.0,1773.0,1773.0,36.0,36.0,4.0,4.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2018",980.05985,980.05985,,,,,,,1026585.0,1026585.0,1047.0,1047.0,,,,,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2019",989.6,989.6,1224621.0,1224621.0,,,,,1362090.0,1362090.0,1376.0,1376.0,,,,,137469.0,137469.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2020",999.1,999.1,815795.0,815795.0,,,,,914137.0,914137.0,915.0,915.0,,,,,98342.0,98342.0
India,West Bengal,19,"Calendar Year (Jan - Dec), 2021",1009.0,1009.0,812795.0,812795.0,50552.0,50552.0,91939.0,91939.0,955286.0,955286.0,947.0,947.0,21.0,21.0,8.0,8.0,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2022",1014.61,1014.61,1118664.0,1118664.0,71371.0,71371.0,197207.0,197207.0,1387242.0,1387242.0,1367.0,1367.0,31.0,31.0,4.0,4.0,,
India,West Bengal,19,"Calendar Year (Jan - Dec), 2023",1024.25,1024.25,1567055.0,1567055.0,133375.0,133375.0,98234.0,98234.0,231609.0,231609.0,1798664.0,1798664.0,1756.0,1756.0,48.0,48.0,4.0,4.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2018",380.3101,380.3101,,,,,,,239576.0,239576.0,630.0,630.0,,,,,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2019",387.6,387.6,232345.0,232345.0,,,,,263871.0,263871.0,681.0,681.0,,,,,31526.0,31526.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2020",394.8,394.8,166921.0,166921.0,,,,,189759.0,189759.0,481.0,481.0,,,,,22838.0,22838.0
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2021",402.0,402.0,162810.0,162810.0,15403.0,15403.0,24343.0,24343.0,202556.0,202556.0,504.0,504.0,9.0,9.0,5.0,5.0,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2022",409.47,409.47,259420.0,259420.0,34410.0,34410.0,74023.0,74023.0,367853.0,367853.0,898.0,898.0,12.0,12.0,4.0,4.0,,
India,Jharkhand,20,"Calendar Year (Jan - Dec), 2023",417.01,417.01,414098.0,414098.0,53540.0,53540.0,48985.0,48985.0,102525.0,102525.0,516623.0,516623.0,1239.0,1239.0,22.0,22.0,4.0,4.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2018",453.49185,453.49185,,,,,,,343587.0,343587.0,758.0,758.0,,,,,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2019",458.4,458.4,354987.0,354987.0,,,,,414215.0,414215.0,904.0,904.0,,,,,59228.0,59228.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2020",463.2,463.2,520052.0,520052.0,,,,,585578.0,585578.0,1264.0,1264.0,,,,,65526.0,65526.0
India,Odisha,21,"Calendar Year (Jan - Dec), 2021",468.0,468.0,795396.0,795396.0,38278.0,38278.0,40380.0,40380.0,874054.0,874054.0,1867.0,1867.0,31.0,31.0,8.0,8.0,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2022",473.01,473.01,1108411.0,1108411.0,66729.0,66729.0,50157.0,50157.0,1225297.0,1225297.0,2590.0,2590.0,44.0,44.0,4.0,4.0,,
India,Odisha,21,"Calendar Year (Jan - Dec), 2023",477.98,477.98,1228445.0,1228445.0,76215.0,76215.0,166975.0,166975.0,243190.0,243190.0,1471635.0,1471635.0,3079.0,3079.0,54.0,54.0,6.0,6.0
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2018",290.33682,290.33682,,,,,,,239783.0,239783.0,826.0,826.0,,,,,,
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2019",295.4,295.4,236887.0,236887.0,,,,,301744.0,301744.0,1021.0,1021.0,,,,,64857.0,64857.0
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2020",300.3,300.3,129292.0,129292.0,,,,,175833.0,175833.0,585.0,585.0,,,,,46541.0,46541.0
India,Chhattisgarh,22,"Calendar Year (Jan - Dec), 2021",305.0,305.0,146736.0,146736.0,27731.0,27731.0,40198.0,40198.0,214665.0,214665.0,703.0,703.0,15.0,15.0,8.0,8.0,,
