Country,StateName,StateCode,Year,I1279_3_sum,I1279_3_avg,I1279_4_sum,I1279_4_avg,I1279_11_sum,I1279_11_avg,I1279_5_sum,I1279_5_avg,I1279_12_sum,I1279_12_avg,I1279_6_sum,I1279_6_avg,I1279_13_sum,I1279_13_avg,I1279_7_sum,I1279_7_avg,I1279_14_sum,I1279_14_avg,I1279_8_sum,I1279_8_avg,I1279_15_sum,I1279_15_avg,I1279_9_sum,I1279_9_avg,I1279_16_sum,I1279_16_avg,I1279_10_sum,I1279_10_avg,I1279_17_sum,I1279_17_avg,I1279_18_sum,I1279_18_avg
India,Mizoram,15,"Calendar Year (Jan - Dec), 2017",2179.0,2179.0,334.0,334.0,15.0,15.0,1476.0,1476.0,68.0,68.0,43.0,43.0,2.0,2.0,31.0,31.0,1.0,1.0,21.0,21.0,1.0,1.0,25.0,25.0,1.0,1.0,583.0,583.0,,,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2018",2252.0,2252.0,514.0,514.0,61.0,61.0,2002.0,2002.0,89.0,89.0,46.0,46.0,2.0,2.0,37.0,37.0,2.0,2.0,12.0,12.0,1.0,1.0,11.0,11.0,0.0,0.0,144.0,144.0,6.0,6.0,836.0,836.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2019",2530.0,2530.0,637.0,637.0,50.0,50.0,1763.0,1763.0,70.0,70.0,40.0,40.0,1.6,1.6,35.0,35.0,1.4,1.4,6.0,6.0,0.2,0.2,12.0,12.0,0.5,0.5,674.0,674.0,26.6,26.6,1265.0,1265.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2020",1632.0,1632.0,550.0,550.0,71.0,71.0,1465.0,1465.0,90.0,90.0,46.0,46.0,2.8,2.8,25.0,25.0,1.5,1.5,4.0,4.0,0.2,0.2,17.0,17.0,1.0,1.0,42.0,42.0,2.6,2.6,770.0,770.0
India,Mizoram,15,"Calendar Year (Jan - Dec), 2021",1302.0,1302.0,439.0,439.0,33.7,33.7,1156.0,1156.0,88.8,88.8,51.0,51.0,3.9,3.9,23.0,23.0,1.8,1.8,11.0,11.0,0.8,0.8,5.0,5.0,0.4,0.4,7.0,7.0,0.5,0.5,,
India,Mizoram,15,"Calendar Year (Jan - Dec), 2022",1718.0,1718.0,609.0,609.0,35.4,35.4,1517.0,1517.0,88.3,88.3,73.0,73.0,4.2,4.2,32.0,32.0,1.9,1.9,7.0,7.0,0.4,0.4,15.0,15.0,0.9,0.9,10.0,10.0,0.6,0.6,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2017",1710.0,1710.0,768.0,768.0,45.0,45.0,1253.0,1253.0,73.0,73.0,80.0,80.0,5.0,5.0,54.0,54.0,3.0,3.0,5.0,5.0,0.0,0.0,6.0,6.0,0.0,0.0,312.0,312.0,,,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2018",2388.0,2388.0,1238.0,1238.0,80.0,80.0,2097.0,2097.0,88.0,88.0,105.0,105.0,4.0,4.0,47.0,47.0,2.0,2.0,14.0,14.0,1.0,1.0,12.0,12.0,1.0,1.0,113.0,113.0,5.0,5.0,1556.0,1556.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2019",2635.0,2635.0,1248.0,1248.0,72.0,72.0,2200.0,2200.0,83.0,83.0,149.0,149.0,5.7,5.7,67.0,67.0,2.5,2.5,16.0,16.0,0.6,0.6,53.0,53.0,2.0,2.0,150.0,150.0,5.7,5.7,1741.0,1741.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2020",1891.0,1891.0,933.0,933.0,75.0,75.0,1546.0,1546.0,82.0,82.0,142.0,142.0,7.5,7.5,41.0,41.0,2.2,2.2,9.0,9.0,0.5,0.5,53.0,53.0,2.8,2.8,38.0,38.0,2.0,2.0,1241.0,1241.0
India,Tripura,16,"Calendar Year (Jan - Dec), 2021",2461.0,2461.0,1044.0,1044.0,42.4,42.4,2114.0,2114.0,85.9,85.9,141.0,141.0,5.7,5.7,53.0,53.0,2.2,2.2,9.0,9.0,0.4,0.4,47.0,47.0,1.9,1.9,19.0,19.0,0.8,0.8,,
India,Tripura,16,"Calendar Year (Jan - Dec), 2022",2776.0,2776.0,1125.0,1125.0,40.5,40.5,2419.0,2419.0,87.1,87.1,154.0,154.0,5.5,5.5,65.0,65.0,2.3,2.3,11.0,11.0,0.4,0.4,29.0,29.0,1.0,1.0,2.0,2.0,0.1,0.1,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2017",2610.0,2610.0,746.0,746.0,29.0,29.0,1832.0,1832.0,70.0,70.0,79.0,79.0,3.0,3.0,85.0,85.0,3.0,3.0,13.0,13.0,0.0,0.0,31.0,31.0,1.0,1.0,570.0,570.0,,,,
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2018",3513.0,3513.0,1139.0,1139.0,62.0,62.0,2782.0,2782.0,79.0,79.0,123.0,123.0,4.0,4.0,82.0,82.0,2.0,2.0,27.0,27.0,1.0,1.0,37.0,37.0,1.0,1.0,462.0,462.0,13.0,13.0,1842.0,1842.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2019",3887.0,3887.0,1335.0,1335.0,61.0,61.0,3084.0,3084.0,79.0,79.0,162.0,162.0,4.2,4.2,108.0,108.0,2.8,2.8,23.0,23.0,0.6,0.6,60.0,60.0,1.5,1.5,450.0,450.0,11.6,11.6,2183.0,2183.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2020",3083.0,3083.0,1073.0,1073.0,62.0,62.0,2487.0,2487.0,81.0,81.0,159.0,159.0,5.2,5.2,95.0,95.0,3.1,3.1,17.0,17.0,0.6,0.6,76.0,76.0,2.5,2.5,64.0,64.0,2.1,2.1,1737.0,1737.0
India,Meghalaya,17,"Calendar Year (Jan - Dec), 2021",3182.0,3182.0,1174.0,1174.0,36.9,36.9,2693.0,2693.0,84.6,84.6,153.0,153.0,4.8,4.8,56.0,56.0,1.8,1.8,13.0,13.0,0.4,0.4,98.0,98.0,3.1,3.1,5.0,5.0,0.2,0.2,,
