StateCode,StateName,Year,lab_tech_fill_rate,phc_doctor_fill_rate,chc_specialist_fill_rate,anm_fill_rate,pharmacist_fill_rate
33,Tamil Nadu,2022,0.22161626177491323,0.0884125920964501,0.26112759643916916,0.05668274042398326,0.15716568993074054
34,Puducherry,2019,0.0,0.0,,,0.0
34,Puducherry,2020,0.06666666666666667,0.0,1.0,0.008333333333333333,0.0
34,Puducherry,2021,0.06666666666666667,0.0,1.0,0.008333333333333333,0.0
34,Puducherry,2022,0.06666666666666667,0.0,,0.0,
35,Andaman and Nicobar Islands,2019,0.17391304347826086,0.19047619047619047,1.0,0.04,0.07547169811320754
35,Andaman and Nicobar Islands,2020,0.0,0.0,,0.0,0.0
35,Andaman and Nicobar Islands,2021,0.1111111111111111,0.05660377358490566,0.75,0.04639175257731959,0.0
35,Andaman and Nicobar Islands,2022,0.1111111111111111,0.05660377358490566,0.75,0.04864864864864865,0.2682926829268293
36,Telangana,2019,0.1630012936610608,0.03269537480063796,0.5872,0.11827478879502001,0.3451851851851852
36,Telangana,2020,0.1630012936610608,0.03269537480063796,0.5872,0.11705202312138728,0.3451851851851852
36,Telangana,2021,0.1630012936610608,0.03269537480063796,0.5872,0.11705202312138728,0.3451851851851852
36,Telangana,2022,0.16507936507936508,0.3098106712564544,0.125,0.26356846473029044,0.08745874587458746
37,Ladakh,2019,0.03944562899857448,0.4040207522710831,0.2965116279084448,0.10060472787264023,0.010416666668040411
37,Ladakh,2020,0.09090909090909091,0.5652173913043478,0.5454545454545454,0.0,0.08333333333333333
37,Ladakh,2021,0.15384615384615385,0.5161290322580645,0.7777777777777778,0.17573221757322174,0.13414634146341464
37,Ladakh,2022,0.2,0.5,0.5555555555555556,0.20843672456575682,0.06451612903225806
38,The Dadra and Nagar Haveli and Daman and Diu,2019,0.08695652173913043,0.25,,0.03296703296703297,0.18181818181818182
38,The Dadra and Nagar Haveli and Daman and Diu,2020,0.0,0.0,0.5,0.0,0.0
38,The Dadra and Nagar Haveli and Daman and Diu,2021,0.0,0.0,,0.0,0.0
38,The Dadra and Nagar Haveli and Daman and Diu,2022,0.0,0.0,,0.023121387283236993,0.0
