StateCode,StateName,Year,state_category,success_rate,ltfu_rate,death_rate,lab_tech_fill_rate,phc_doctor_fill_rate,anm_fill_rate,chc_specialist_fill_rate,oop_per_hospitalisation,barrier_financial_pct,barrier_distance_pct,tb_dm_coinfected_pct,drtb_pct,stunting_pct,improved_sanitation_pct,health_insurance_coverage_pct,notification_achievement_rate,presumptive_examination_rate
22,Chhattisgarh,2022,,88.3,1.9,5.4,0.2617342879872713,0.4922440537745605,0.1956486704270749,0.8928571428571429,22896.0,310.0,670.0,9.0,1.8,32.85,80.85,70.44999999999999,0.6692181818181818,1605.0
23,Madhya Pradesh,2019,EAG+1 States,79.0,5.3,3.0,0.0,0.4797430830039526,0.1873539518900343,0.9158576051779936,14655.0,0.0,420.0,,,33.7,70.2,39.1,0.8172555066079296,744.0
23,Madhya Pradesh,2020,,80.0,4.5,3.5,0.4542440318302387,0.3016393442622951,0.0633137011779293,0.9554263565891472,14655.0,0.0,420.0,,,33.7,70.2,39.1,0.5675885047896709,620.0
23,Madhya Pradesh,2021,,84.7,4.4,4.0,0.302158273381295,0.3073661897191309,0.0688583197326494,0.9544973544973544,14655.0,0.0,420.0,5.0,,33.7,70.2,39.1,0.6862099125364431,741.0
23,Madhya Pradesh,2022,,87.3,3.4,3.5,0.2797246558197747,0.1618705035971223,0.0595782935599869,0.944677284157586,14655.0,0.0,420.0,6.0,1.6,33.7,70.2,39.1,0.758665306122449,1505.0
24,Gujarat,2019,Major (Non EAG States),85.0,2.9,4.5,0.0608365019011406,0.1716559302766199,0.1385077992858485,0.8036605657237936,15448.0,40.0,680.0,,,37.7,76.3,38.7,0.9183117647058824,1423.0
24,Gujarat,2020,,88.0,2.1,4.7,0.1752232142857142,0.2027822364901016,0.2043583132329701,0.9514925373134328,15448.0,40.0,680.0,,,37.7,76.3,38.7,0.6044512820512821,1164.0
24,Gujarat,2021,,88.7,1.8,5.0,0.0254143646408839,0.117708880714661,0.1372869684971595,0.6311475409836066,15448.0,40.0,680.0,5.0,,37.7,76.3,38.7,0.7256923076923077,1256.0
24,Gujarat,2022,,90.1,1.3,4.1,0.0961848468565287,0.0985615343633457,0.1339164844319483,0.6909975669099757,15448.0,40.0,680.0,6.0,2.2,37.7,76.3,38.7,1.0022466666666667,1768.0
27,Maharashtra,2019,Major (Non EAG States),83.0,3.2,4.2,0.2287862513426423,0.0746315459391658,0.0701064420980635,0.4106925880923451,23892.0,50.0,630.0,,,35.2,72.25,20.0,0.8360528301886793,913.0
27,Maharashtra,2020,,84.0,2.1,4.7,0.2568460812086874,0.2060217451909674,0.1328728159284843,0.2849462365591398,23892.0,50.0,630.0,,,35.2,72.25,20.0,0.5767185185185185,703.0
27,Maharashtra,2021,,86.8,1.5,4.3,0.2570647219690063,0.1912459587167371,0.1892315441876084,0.3022774327122153,23892.0,50.0,630.0,7.0,,35.2,72.25,20.0,0.7112074074074074,832.0
27,Maharashtra,2022,,86.9,1.4,3.9,0.2645551932929669,0.182070707070707,0.2563742517182765,0.3075221238938053,23892.0,50.0,630.0,7.0,6.1,35.2,72.25,20.0,0.8533185185185185,1519.0
28,Andhra Pradesh,2019,Major (Non EAG States),90.0,1.5,3.7,0.2932525951557093,0.0789473684210526,0.1723292469352014,0.1966101694915254,16454.0,0.0,470.0,,,28.65,80.6,67.95,0.8455391304347826,771.0
28,Andhra Pradesh,2020,,90.0,0.8,4.0,0.2643029814665592,0.0338527673293928,0.0808127992525983,0.1666666666666666,16454.0,0.0,470.0,,,28.65,80.6,67.95,0.5482608695652174,1166.0
28,Andhra Pradesh,2021,,93.1,0.2,2.6,0.2288659793814433,0.0675675675675675,0.0840356813288219,0.3192389006342495,16454.0,0.0,470.0,12.0,,28.65,80.6,67.95,0.7390173913043478,1419.0
28,Andhra Pradesh,2022,,94.7,0.1,1.6,0.2176470588235294,0.0716228467815049,0.0521093582696837,0.3529411764705882,16454.0,0.0,470.0,14.0,3.0,28.65,80.6,67.95,0.7888173913043478,1524.0
29,Karnataka,2019,Major (Non EAG States),80.0,3.4,6.4,0.1733258300506471,0.007522331922896,0.0,0.4128787878787879,15546.0,30.0,610.0,,,34.7,76.45,28.1,0.6928,1459.0
29,Karnataka,2020,,81.0,2.5,7.2,0.1024973985431841,0.1084804132587171,0.2466193373901284,0.4949899799599198,15546.0,30.0,610.0,,,34.7,76.45,28.1,0.476,770.0
29,Karnataka,2021,,82.5,2.5,7.5,0.1731414868105515,0.2514546965918537,0.1998595505617977,0.525974025974026,15546.0,30.0,610.0,13.0,,34.7,76.45,28.1,0.5225185185185185,743.0
29,Karnataka,2022,,84.6,2.1,6.7,0.1671996345363179,0.1661316211878009,0.2841142430464812,0.4295010845986984,15546.0,30.0,610.0,15.0,3.2,34.7,76.45,28.1,0.79092,1345.0
30,Goa,2019,Major (Non EAG States),79.0,5.5,3.2,0.032258064516129,0.0,0.1883116883116883,0.0,11983.0,0.0,380.0,,,26.25,87.7,66.3,0.3436666666666667,1212.0
30,Goa,2020,,84.0,3.0,5.6,0.0,0.0,0.0,0.0,11983.0,0.0,380.0,,,26.25,87.7,66.3,0.3146875,836.0
30,Goa,2021,,80.1,3.1,9.0,0.0,0.09375,0.1275167785234899,0.6875,11983.0,0.0,380.0,16.0,,26.25,87.7,66.3,0.600625,868.0
30,Goa,2022,,74.3,4.4,8.6,0.0,0.1081081081081081,0.2601279317697228,0.9090909090909092,11983.0,0.0,380.0,19.0,2.7,26.25,87.7,66.3,0.7679166666666667,1316.0
31,Lakshadweep,2019,,64.0,0.0,9.1,0.0,0.0,0.0,,10383.0,0.0,630.0,,,33.15,99.85,62.55,0.1333333333333333,1218.0
31,Lakshadweep,2020,,88.0,0.0,0.0,0.0,0.0,0.0,0.0,10383.0,0.0,630.0,,,33.15,99.85,62.55,0.45,1738.0
31,Lakshadweep,2021,,90.0,0.0,5.0,0.1666666666666666,0.0,0.0769230769230769,0.0,10383.0,0.0,630.0,21.0,,33.15,99.85,62.55,,1572.0
31,Lakshadweep,2022,,100.0,0.0,0.0,0.0,0.0,0.0222222222222222,0.0,10383.0,0.0,630.0,40.0,,33.15,99.85,62.55,0.5,3933.0
32,Kerala,2019,Major (Non EAG States),83.0,1.9,7.2,0.0,0.0,0.0,0.0,17098.0,0.0,760.0,,,23.25,98.75,51.3,0.79034375,1466.0
32,Kerala,2020,,81.0,1.8,8.1,0.0374787052810902,0.1689571544058205,0.0447206974491443,0.0989583333333333,17098.0,0.0,760.0,,,23.25,98.75,51.3,0.7366785714285714,749.0
32,Kerala,2021,,79.5,2.2,8.1,0.0362844702467343,0.046,0.1240713224368499,0.0,17098.0,0.0,760.0,31.0,,23.25,98.75,51.3,0.7775714285714286,660.0
32,Kerala,2022,,81.8,2.6,8.4,0.0218579234972677,0.039002557544757,0.1789383561643835,0.04,17098.0,0.0,760.0,33.0,1.4,23.25,98.75,51.3,0.980625,1141.0
33,Tamil Nadu,2019,Major (Non EAG States),83.0,3.0,4.9,0.5213675213675214,0.3751758087201125,0.1034575662325999,,15835.0,10.0,890.0,,,24.7,73.05,66.25,0.7706428571428572,1411.0
33,Tamil Nadu,2020,,83.0,2.5,5.9,0.3776709401709401,0.0900537634408602,0.1267898767898768,0.2852664576802508,15835.0,10.0,890.0,,,24.7,73.05,66.25,0.4731103448275862,792.0
33,Tamil Nadu,2021,,83.1,2.8,6.0,0.2376926902038786,0.0889334670678702,0.0484577637574483,0.2300613496932515,15835.0,10.0,890.0,25.0,,24.7,73.05,66.25,0.5599931034482759,953.0
33,Tamil Nadu,2022,,85.8,2.5,5.6,0.2216162617749132,0.0884125920964501,0.0566827404239832,0.2611275964391691,15835.0,10.0,890.0,27.0,2.8,24.7,73.05,66.25,0.7728,2290.0
34,Puducherry,2019,Union Territories,81.0,2.7,7.4,0.0,0.0,,,19646.0,0.0,1060.0,,,18.65,81.9,30.25,0.8202739726027397,2168.0
34,Puducherry,2020,,81.0,2.3,6.6,0.0666666666666666,0.0,0.0083333333333333,1.0,19646.0,0.0,1060.0,,,18.65,81.9,30.25,0.3553333333333333,802.0
34,Puducherry,2021,,80.6,2.4,5.4,0.0666666666666666,0.0,0.0083333333333333,1.0,19646.0,0.0,1060.0,28.0,,18.65,81.9,30.25,0.6626666666666666,1011.0
34,Puducherry,2022,,81.8,2.7,7.7,0.0666666666666666,0.0,0.0,,19646.0,0.0,1060.0,30.0,10.2,18.65,81.9,30.25,0.683265306122449,1703.0
