StateCode,StateName,DistrictCode,DistrictName,Year,phc_count,chc_count,sc_count,dh_count
3,Punjab,651,Fazilka,2017,19.0,6.0,109.0,1.0
3,Punjab,651,Fazilka,2018,6.0,6.0,84.0,1.0
3,Punjab,651,Fazilka,2020,22.0,6.0,109.0,1.0
3,Punjab,651,Fazilka,2021,22.0,6.0,109.0,1.0
3,Punjab,662,Pathankot,2016,9.0,4.0,69.0,1.0
3,Punjab,662,Pathankot,2017,9.0,4.0,69.0,1.0
3,Punjab,662,Pathankot,2018,0.0,4.0,54.0,1.0
3,Punjab,662,Pathankot,2020,11.0,4.0,69.0,1.0
3,Punjab,662,Pathankot,2021,11.0,4.0,69.0,1.0
3,Punjab,737,Malerkotla,2021,7.0,2.0,50.0,1.0
4,Chandigarh,44,Chandigarh,2016,3.0,2.0,17.0,1.0
4,Chandigarh,44,Chandigarh,2017,0.0,0.0,17.0,1.0
4,Chandigarh,44,Chandigarh,2018,36.0,2.0,4.0,1.0
4,Chandigarh,44,Chandigarh,2020,43.0,2.0,0.0,1.0
4,Chandigarh,44,Chandigarh,2021,43.0,2.0,0.0,1.0
5,Uttarakhand,45,Almora,2016,28.0,4.0,206.0,2.0
5,Uttarakhand,45,Almora,2017,25.0,8.0,206.0,2.0
5,Uttarakhand,45,Almora,2018,25.0,8.0,206.0,2.0
5,Uttarakhand,45,Almora,2019,26.0,9.0,203.0,1.0
5,Uttarakhand,45,Almora,2020,26.0,9.0,203.0,1.0
5,Uttarakhand,45,Almora,2021,65.0,9.0,203.0,1.0
5,Uttarakhand,46,Bageshwar,2016,12.0,2.0,84.0,1.0
5,Uttarakhand,46,Bageshwar,2017,13.0,3.0,84.0,1.0
5,Uttarakhand,46,Bageshwar,2018,13.0,3.0,84.0,1.0
5,Uttarakhand,46,Bageshwar,2019,15.0,3.0,89.0,1.0
5,Uttarakhand,46,Bageshwar,2020,13.0,3.0,87.0,1.0
5,Uttarakhand,46,Bageshwar,2021,29.0,3.0,89.0,1.0
5,Uttarakhand,47,Chamoli,2016,13.0,5.0,110.0,1.0
5,Uttarakhand,47,Chamoli,2017,16.0,6.0,110.0,1.0
5,Uttarakhand,47,Chamoli,2018,16.0,6.0,110.0,1.0
5,Uttarakhand,47,Chamoli,2019,21.0,3.0,112.0,1.0
5,Uttarakhand,47,Chamoli,2020,12.0,5.0,111.0,1.0
5,Uttarakhand,47,Chamoli,2021,39.0,5.0,111.0,1.0
5,Uttarakhand,48,Champawat,2016,6.0,2.0,68.0,1.0
5,Uttarakhand,48,Champawat,2017,8.0,1.0,68.0,1.0
5,Uttarakhand,48,Champawat,2018,8.0,1.0,68.0,1.0
5,Uttarakhand,48,Champawat,2019,6.0,2.0,66.0,1.0
5,Uttarakhand,48,Champawat,2020,10.0,2.0,66.0,1.0
5,Uttarakhand,48,Champawat,2021,18.0,1.0,66.0,1.0
5,Uttarakhand,49,Dehradun,2016,23.0,7.0,175.0,2.0
5,Uttarakhand,49,Dehradun,2017,23.0,7.0,175.0,0.0
5,Uttarakhand,49,Dehradun,2018,21.0,7.0,157.0,0.0
5,Uttarakhand,49,Dehradun,2019,33.0,5.0,180.0,1.0
5,Uttarakhand,49,Dehradun,2020,31.0,5.0,181.0,1.0
5,Uttarakhand,49,Dehradun,2021,57.0,5.0,181.0,1.0
5,Uttarakhand,50,Haridwar,2016,28.0,6.0,160.0,2.0
5,Uttarakhand,50,Haridwar,2017,29.0,7.0,160.0,2.0
5,Uttarakhand,50,Haridwar,2018,26.0,7.0,160.0,2.0
5,Uttarakhand,50,Haridwar,2019,41.0,8.0,166.0,1.0
5,Uttarakhand,50,Haridwar,2020,41.0,8.0,160.0,1.0
5,Uttarakhand,50,Haridwar,2021,41.0,8.0,160.0,1.0
5,Uttarakhand,51,Nainital,2016,19.0,8.0,143.0,2.0
5,Uttarakhand,51,Nainital,2017,15.0,8.0,143.0,2.0
5,Uttarakhand,51,Nainital,2018,12.0,8.0,128.0,2.0
5,Uttarakhand,51,Nainital,2019,19.0,8.0,136.0,1.0
5,Uttarakhand,51,Nainital,2020,20.0,8.0,136.0,1.0
